restaurant,restaurant_ar,id,restaurant_id,date,cash,card,app1,app2,app3,app4,app5,app6,vat_mode,total_revenue,net_sales,output_vat,opening_balance,cash_expenses,petty_cash,closing_balance,expected_closing,cash_discrepancy,daily_notes,created_at
Asad Al-Hamra,أسد الحمراء,2,1,2026-05-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,exclusive,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2026-05-20 09:01:24.518526
Asad Al-Hamra,أسد الحمراء,3,1,2026-05-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,exclusive,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2026-05-20 09:01:34.238075
